painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q15880874,Portrait of Marguerite Khnopff,http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20Khnopff%20-%20Portret%20van%20Marguerite%20-%20Portrait%20de%20Marguerite%20-%20Erfgoedfonds%20Koning%20Boudewijnstichting%20-%20Fonds%20du%20Patrimoine%20Fondation%20Roi%20Baudouin.jpg,1887-01-01T00:00:00Z,Fernand Khnopff,male,Belgium,Symbolism
http://www.wikidata.org/entity/Q16687283,Jeanne Kéfer,http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20Khnopff%20%28Belgian%20-%20Jeanne%20K%C3%A9fer%20-%20Google%20Art%20Project%20%28cropped%29.jpg,1885-01-01T00:00:00Z,Fernand Khnopff,male,Belgium,Symbolism
http://www.wikidata.org/entity/Q101421944,The Seated Figure,http://commons.wikimedia.org/wiki/Special:FilePath/Jankel%20ADLER%20%28Polish%2C%20b.1895%2C%20d.1949%29%20-%20The%20Seated%20Figure%20-%20Suter%20Art%20Gallery.jpg,1947-01-01T00:00:00Z,Jankel Adler,male,Germany,School of Paris
http://www.wikidata.org/entity/Q104600137,Muse,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Mehoffer%20-%20Muse%20-%20MP%20367%20MNW%20-%20National%20Museum%20in%20Warsaw.jpg,1897-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q104602183,Village girl,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Mehoffer%20-%20Village%20girl%20-%20MP%20550%20MNW%20-%20National%20Museum%20in%20Warsaw.jpg,1894-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q104612324,"Wife’s portrait study, sketch for “Strange garden”",http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Mehoffer%20-%20Wife%E2%80%99s%20portrait%20study%2C%20sketch%20for%20%E2%80%9CStrange%20garden%E2%80%9D%20-%20MP%20552%20MNW%20-%20National%20Museum%20in%20Warsaw.jpg,1902-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q104623940,Portrait of Maksymilian Ehrenpreis,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Mehoffer%20-%20Portrait%20of%20Maksymilian%20Ehrenpreis%20-%20MP%20555%20MNW%20-%20National%20Museum%20in%20Warsaw.jpg,1911-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q104765111,Portrait of Wife,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Mehoffer%20-%20Portrait%20of%20Wife%20-%20MNK%20II-b-896%20-%20National%20Museum%20Krak%C3%B3w.jpg,1904-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q105386779,Portrait of artist's wife with Pegasus.,http://commons.wikimedia.org/wiki/Special:FilePath/Mehoffer%20Artist%27s%20wife%20with%20Pegasus.jpg,1913-01-01T00:00:00Z,Józef Mehoffer,male,Poland,Symbolism
http://www.wikidata.org/entity/Q24057636,Portrait of the Artist’s Father,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20the%20father%20%28Malevich%2C%20ca.%201902%E2%80%9303%29.jpg,1902-01-01T00:00:00Z,Kazimir Malevich,male,Russian Empire,Russian avant-garde
